"","V1"
"inaug_JamesMonroe *_2_56",7
"inaug_JamesMonroe *_2_57",9
"inaug_JamesMonroe *_2_58",14
"inaug_JamesMonroe *_2_59",10
"inaug_JamesMonroe *_2_60",10
"inaug_JamesMonroe *_2_61",10
"inaug_JamesMonroe *_2_62",10
"inaug_JamesMonroe *_2_63",9
"inaug_JamesMonroe *_2_64",9
"inaug_JamesMonroe *_2_65",10
"inaug_JamesMonroe *_2_66",7
"inaug_JamesMonroe *_2_67",7
"inaug_JamesMonroe *_2_68",7
"inaug_JamesMonroe *_2_69",7
"inaug_JamesMonroe *_2_70",1
"inaug_JamesMonroe *_2_71",1
"inaug_JamesMonroe *_2_72",7
"inaug_JamesMonroe *_2_73",12
"inaug_JamesMonroe *_2_74",12
"inaug_JamesMonroe *_2_75",7
"inaug_JamesMonroe *_2_76",7
"inaug_JamesMonroe *_2_77",7
"inaug_JamesMonroe *_2_78",7
"inaug_JamesMonroe *_2_79",10
"inaug_JamesMonroe *_2_80",1
"inaug_JamesMonroe *_2_81",1
"inaug_JamesMonroe *_2_82",1
"inaug_JamesMonroe *_2_83",1
"inaug_JamesMonroe *_2_84",9
"inaug_JamesMonroe *_2_85",9
"inaug_JamesMonroe *_2_86",9
"inaug_JamesMonroe *_2_87",1
"inaug_JamesMonroe *_2_88",9
"inaug_JamesMonroe *_2_89",9
"inaug_JamesMonroe *_2_90",10
"inaug_JamesMonroe *_2_91",9
"inaug_JamesMonroe *_2_92",9
"inaug_JamesMonroe *_2_93",9
"inaug_JamesMonroe *_2_94",9
"inaug_JamesMonroe *_2_95",1
"inaug_JamesMonroe *_2_96",1
"inaug_JamesMonroe *_2_97",1
"inaug_JamesMonroe *_2_98",7
"inaug_JamesMonroe *_2_99",6
"inaug_JamesMonroe *_2_100",9
"inaug_JamesMonroe *_2_101",7
"inaug_JamesMonroe *_2_102",9
"inaug_JamesMonroe *_2_103",7
"inaug_JamesMonroe *_2_104",7
"inaug_JamesMonroe *_2_105",7
"inaug_JamesMonroe *_2_106",7
"inaug_JamesMonroe *_2_107",9
"inaug_JamesMonroe *_2_108",9
"inaug_JamesMonroe *_2_109",7
"inaug_JamesMonroe *_2_110",7
"inaug_JamesMonroe *_2_111",7
"inaug_JamesMonroe *_2_112",9
"inaug_JamesMonroe *_2_113",9
"inaug_JamesMonroe *_2_114",9
"inaug_JamesMonroe *_2_115",12
"inaug_JamesMonroe *_2_116",9
"inaug_JamesMonroe *_2_117",9
"inaug_JamesMonroe *_2_118",9
"inaug_JamesMonroe *_2_119",14
"inaug_JamesMonroe *_2_120",10
"inaug_JamesMonroe *_2_121",8
"inaug_JamesMonroe *_2_122",10
"inaug_JamesMonroe *_2_123",7
"inaug_JamesMonroe *_2_124",7
"inaug_JamesMonroe *_2_125",7
"inaug_JamesMonroe *_2_126",7
"inaug_JamesMonroe *_2_127",7
"inaug_JamesMonroe *_2_128",10
"inaug_JamesMonroe *_2_129",7
"inaug_JamesMonroe *_2_130",7
"inaug_JamesMonroe *_2_131",7
"inaug_JamesMonroe *_2_132",9
"inaug_JamesMonroe *_2_133",9
"inaug_JamesMonroe *_2_134",14
"inaug_JamesMonroe *_2_135",7
"inaug_JamesMonroe *_2_136",7
"inaug_JamesMonroe *_2_137",7
"inaug_JamesMonroe *_2_138",7
"inaug_JamesMonroe *_2_139",7
"inaug_JamesMonroe *_2_140",7
"inaug_JamesMonroe *_2_141",9
"inaug_JamesMonroe *_2_142",9
"inaug_JohnQuincyAdams *_1_2",9
"inaug_JohnQuincyAdams *_1_3",7
"inaug_JohnQuincyAdams *_1_4",7
"inaug_JohnQuincyAdams *_1_5",9
"inaug_JohnQuincyAdams *_1_6",9
"inaug_JohnQuincyAdams *_1_7",9
"inaug_JohnQuincyAdams *_1_8",13
"inaug_JohnQuincyAdams *_1_9",10
"inaug_JohnQuincyAdams *_1_10",10
"inaug_JohnQuincyAdams *_1_11",10
"inaug_JohnQuincyAdams *_1_12",10
"inaug_JohnQuincyAdams *_1_13",10
"inaug_JohnQuincyAdams *_1_14",10
"inaug_JohnQuincyAdams *_1_15",14
"inaug_JohnQuincyAdams *_1_16",7
"inaug_JohnQuincyAdams *_1_17",14
"inaug_JohnQuincyAdams *_1_18",7
"inaug_JohnQuincyAdams *_1_19",7
"inaug_JohnQuincyAdams *_1_20",12
"inaug_JohnQuincyAdams *_1_21",13
"inaug_JohnQuincyAdams *_1_22",1
"inaug_JohnQuincyAdams *_1_23",7
"inaug_JohnQuincyAdams *_1_24",1
"inaug_JohnQuincyAdams *_1_25",7
"inaug_JohnQuincyAdams *_1_26",13
"inaug_JohnQuincyAdams *_1_27",8
"inaug_JohnQuincyAdams *_1_28",8
"inaug_JohnQuincyAdams *_1_29",8
"inaug_JohnQuincyAdams *_1_30",11
"inaug_JohnQuincyAdams *_1_31",5
"inaug_JohnQuincyAdams *_1_32",11
"inaug_JohnQuincyAdams *_1_33",7
"inaug_JohnQuincyAdams *_1_34",7
"inaug_JohnQuincyAdams *_1_35",9
"inaug_JohnQuincyAdams *_1_36",9
"inaug_JohnQuincyAdams *_1_37",9
"inaug_JohnQuincyAdams *_1_38",9
"inaug_JohnQuincyAdams *_1_39",9
"inaug_JohnQuincyAdams *_1_40",9
"inaug_JohnQuincyAdams *_1_41",7
"inaug_JohnQuincyAdams *_1_42",7
"inaug_JohnQuincyAdams *_1_43",9
"inaug_JohnQuincyAdams *_1_44",11
"inaug_JohnQuincyAdams *_1_45",9
"inaug_JohnQuincyAdams *_1_46",7
"inaug_JohnQuincyAdams *_1_47",7
"inaug_JohnQuincyAdams *_1_48",7
"inaug_JohnQuincyAdams *_1_49",12
"inaug_JohnQuincyAdams *_1_50",1
"inaug_JohnQuincyAdams *_1_51",7
"inaug_JohnQuincyAdams *_1_52",13
"inaug_JohnQuincyAdams *_1_53",7
"inaug_JohnQuincyAdams *_1_54",7
"inaug_JohnQuincyAdams *_1_55",7
"inaug_JohnQuincyAdams *_1_56",11
"inaug_JohnQuincyAdams *_1_57",9
"inaug_JohnQuincyAdams *_1_58",9
"inaug_JohnQuincyAdams *_1_59",7
"inaug_JohnQuincyAdams *_1_60",7
"inaug_JohnQuincyAdams *_1_61",7
"inaug_JohnQuincyAdams *_1_62",7
"inaug_JohnQuincyAdams *_1_63",7
"inaug_JohnQuincyAdams *_1_64",7
"inaug_JohnQuincyAdams *_1_65",7
"inaug_JohnQuincyAdams *_1_66",7
"inaug_JohnQuincyAdams *_1_67",7
"inaug_JohnQuincyAdams *_1_68",9
"inaug_JohnQuincyAdams *_1_69",9
"inaug_JohnQuincyAdams *_1_70",9
"inaug_JohnQuincyAdams *_1_71",9
"inaug_JohnQuincyAdams *_1_72",9
"inaug_JohnQuincyAdams *_1_73",9
"inaug_JohnQuincyAdams *_1_74",8
"inaug_JohnQuincyAdams *_1_75",8
"inaug_JohnQuincyAdams *_1_76",8
"inaug_JohnQuincyAdams *_1_77",12
"inaug_JohnQuincyAdams *_1_78",12
"inaug_JohnQuincyAdams *_1_79",8
"inaug_JohnQuincyAdams *_1_80",7
"inaug_JohnQuincyAdams *_1_81",7
"inaug_JohnQuincyAdams *_1_82",9
"inaug_JohnQuincyAdams *_1_83",10
"inaug_JohnQuincyAdams *_1_84",1
"inaug_JohnQuincyAdams *_1_85",1
"inaug_JohnQuincyAdams *_1_86",10
"inaug_JohnQuincyAdams *_1_87",10
"inaug_JohnQuincyAdams *_1_88",12
"inaug_JohnQuincyAdams *_1_89",12
"inaug_JohnQuincyAdams *_1_90",9
"inaug_JohnQuincyAdams *_1_91",9
"inaug_JohnQuincyAdams *_1_92",9
"inaug_JohnQuincyAdams *_1_93",9
"inaug_JohnQuincyAdams *_1_94",9
"inaug_JohnQuincyAdams *_1_95",9
"inaug_JohnQuincyAdams *_1_96",9
"inaug_JohnQuincyAdams *_1_97",9
"inaug_JohnQuincyAdams *_1_98",7
"inaug_JohnQuincyAdams *_1_99",10
"inaug_JohnQuincyAdams *_1_100",10
"inaug_JohnQuincyAdams *_1_101",14
"inaug_JohnQuincyAdams *_1_102",14
"inaug_JohnQuincyAdams *_1_103",10
"inaug_JohnQuincyAdams *_1_104",9
"inaug_JohnQuincyAdams *_1_105",9
"inaug_JohnQuincyAdams *_1_106",9
"inaug_JohnQuincyAdams *_1_107",9
"inaug_JohnQuincyAdams *_1_108",9
"inaug_JohnQuincyAdams *_1_109",9
"inaug_JohnQuincyAdams *_1_110",9
"inaug_JohnQuincyAdams *_1_111",9
"inaug_AndrewJackson *_1_2",9
"inaug_AndrewJackson *_1_3",9
"inaug_AndrewJackson *_1_4",7
"inaug_AndrewJackson *_1_5",9
"inaug_AndrewJackson *_1_6",9
"inaug_AndrewJackson *_1_7",9
"inaug_AndrewJackson *_1_8",9
"inaug_AndrewJackson *_1_9",9
"inaug_AndrewJackson *_1_10",1
"inaug_AndrewJackson *_1_11",9
"inaug_AndrewJackson *_1_12",9
"inaug_AndrewJackson *_1_13",9
"inaug_AndrewJackson *_1_14",7
